month,region,product,channel,units_2025,aov_2025,revenue_2025,units_2024,aov_2024,revenue_2024
2025-05,Asia,Product A,Direct,2017,404.25,815372.25,1979,413.89,819088.31
2025-05,Asia,Product A,Online,1889,403.15,761550.35,1665,412.68,687112.2
2025-05,Asia,Product A,Partner,1410,400.85,565198.5,1320,408.21,538837.2
2025-05,Asia,Product B,Direct,1239,939.34,1163842.26,1110,958.69,1064145.9
2025-05,Asia,Product B,Online,1078,999.82,1077805.96,988,995.09,983148.92
2025-05,Asia,Product B,Partner,838,914.75,766560.5,766,926.43,709645.38
2025-05,Asia,Product C,Direct,822,275.6,226543.2,770,274.47,211341.9
2025-05,Asia,Product C,Online,708,271.36,192122.88,681,272.41,185511.21
2025-05,Asia,Product C,Partner,564,284.64,160536.96,513,282.56,144953.28
2025-06,North America,Product A,Direct,2554,386.87,988065.98,2259,378.06,854037.54
2025-06,North America,Product A,Online,2409,400.32,964370.88,2032,403.62,820155.84
2025-06,North America,Product A,Partner,1840,389.55,716772,1579,394.84,623452.36
2025-06,North America,Product B,Direct,1532,977.84,1498050.88,1497,980.69,1468092.93
2025-06,North America,Product B,Online,1405,994.8,1397694,1162,1013.12,1177245.44
2025-06,North America,Product B,Partner,1115,929.86,1036793.9,934,889.1,830419.4
2025-06,North America,Product C,Direct,1050,276.95,290797.5,985,275.54,271406.9
2025-06,North America,Product C,Online,963,270.55,260539.65,832,282.61,235131.52
2025-06,North America,Product C,Partner,749,287.2,215112.8,627,289.12,181278.24
2025-06,Europe,Product A,Direct,1857,418.6,777340.2,1698,429.08,728577.84
2025-06,Europe,Product A,Online,1706,370.94,632823.64,1597,372.93,595569.21
2025-06,Europe,Product A,Partner,1364,423.78,578035.92,1190,401.81,478153.9
2025-06,Europe,Product B,Direct,1139,944.68,1075990.52,1071,921.68,987119.28
2025-06,Europe,Product B,Online,1032,969.96,1000998.72,925,974.15,901088.75
2025-06,Europe,Product B,Partner,811,916.73,743468.03,734,911.38,668952.92
2025-06,Europe,Product C,Direct,770,277.88,213967.6,719,274.32,197236.08
2025-06,Europe,Product C,Online,700,278.64,195048,654,269.56,176292.24
2025-06,Europe,Product C,Partner,528,276.3,145886.4,462,273.82,126504.84
2025-06,Asia,Product A,Direct,2139,408.28,873310.92,2040,417.16,851006.4
2025-06,Asia,Product A,Online,1924,397.78,765328.72,1684,411.45,692881.8
2025-06,Asia,Product A,Partner,1541,402.76,620653.16,1381,410.82,567342.42
2025-06,Asia,Product B,Direct,1266,942.04,1192622.64,1168,936.47,1093796.96
2025-06,Asia,Product B,Online,1149,989.86,1137349.14,1027,981.64,1008144.28
2025-06,Asia,Product B,Partner,901,903.28,813855.28,812,898.62,729679.44
2025-06,Asia,Product C,Direct,849,273.7,232371.3,801,280.56,224728.56
2025-06,Asia,Product C,Online,742,280.23,207930.66,680,276.59,188081.2
2025-06,Asia,Product C,Partner,577,275.97,159234.69,543,278.11,151013.73
2025-07,North America,Product A,Direct,2441,382.6,933926.6,2176,377.1,820569.6
2025-07,North America,Product A,Online,2184,407.42,889805.28,1893,414.3,784269.9
2025-07,North America,Product A,Partner,1696,401.7,681283.2,1523,392.01,597031.23
2025-07,North America,Product B,Direct,1503,981.08,1474563.24,1377,976.57,1344736.89
2025-07,North America,Product B,Online,1293,1003.2,1297137.6,1101,1033.82,1138235.82
2025-07,North America,Product B,Partner,1001,942.78,943722.78,905,889.93,805386.65
2025-07,North America,Product C,Direct,989,279.88,276801.32,930,283.97,264092.1
2025-07,North America,Product C,Online,881,275.65,242847.65,759,277.13,210341.67
2025-07,North America,Product C,Partner,704,287.87,202660.48,590,292.51,172580.9
2025-07,Europe,Product A,Direct,1808,421.63,762307.04,1577,425.71,671344.67
2025-07,Europe,Product A,Online,1590,379.69,603707.1,1464,366.74,536907.36
2025-07,Europe,Product A,Partner,1285,411.05,528199.25,1111,410.55,456121.05
2025-07,Europe,Product B,Direct,1071,932.61,998825.31,1001,903.4,904303.4
2025-07,Europe,Product B,Online,952,962.63,916423.76,850,964.86,820131
2025-07,Europe,Product B,Partner,748,916.29,685384.92,694,914.12,634399.28
2025-07,Europe,Product C,Direct,711,278.04,197686.44,690,276.07,190488.3
2025-07,Europe,Product C,Online,652,278.06,181295.12,612,271.69,166274.28
2025-07,Europe,Product C,Partner,498,280.05,139464.9,432,276.75,119556
2025-07,Asia,Product A,Direct,2007,403.91,810647.37,1859,422.92,786208.28
2025-07,Asia,Product A,Online,1777,400.06,710906.62,1574,406.27,639468.98
2025-07,Asia,Product A,Partner,1366,406.76,555634.16,1265,399.48,505342.2
2025-07,Asia,Product B,Direct,1206,945.83,1140670.98,1074,947.9,1018044.6
2025-07,Asia,Product B,Online,1089,992.28,1080592.92,995,976.46,971577.7
2025-07,Asia,Product B,Partner,841,928.84,781154.44,775,917.75,711256.25
2025-07,Asia,Product C,Direct,777,278.39,216309.03,734,276.09,202650.06
2025-07,Asia,Product C,Online,702,276.51,194110.02,634,270.79,171680.86
2025-07,Asia,Product C,Partner,558,278.1,155179.8,500,283.52,141760
2025-08,North America,Product A,Direct,2458,390.11,958890.38,2173,380.16,826087.68
2025-08,North America,Product A,Online,2210,404.51,893967.1,1930,409.82,790952.6
2025-08,North America,Product A,Partner,1796,399.05,716693.8,1527,391.3,597515.1
2025-08,North America,Product B,Direct,1467,955.17,1401234.39,1433,991.91,1421407.03
2025-08,North America,Product B,Online,1363,1005.57,1370591.91,1168,1006.97,1176140.96
2025-08,North America,Product B,Partner,1067,915.2,976518.4,928,896.82,832248.96
2025-08,North America,Product C,Direct,1004,276.01,277114.04,962,279.22,268609.64
2025-08,North America,Product C,Online,877,271.96,238508.92,752,278.79,209650.08
2025-08,North America,Product C,Partner,720,284.45,204804,626,288.94,180876.44
2025-08,Europe,Product A,Direct,1778,422.54,751276.12,1563,431.74,674809.62
2025-08,Europe,Product A,Online,1653,370.44,612337.32,1549,377.95,585444.55
2025-08,Europe,Product A,Partner,1280,417.36,534220.8,1145,405.09,463828.05
2025-08,Europe,Product B,Direct,1079,948.31,1023226.49,987,906.86,895070.82
2025-08,Europe,Product B,Online,1003,962.34,965227.02,880,943.13,829954.4
2025-08,Europe,Product B,Partner,777,899.8,699144.6,712,896.39,638229.68
2025-08,Europe,Product C,Direct,736,273.88,201575.68,703,278.54,195813.62
2025-08,Europe,Product C,Online,665,277.77,184717.05,639,266.41,170235.99
2025-08,Europe,Product C,Partner,516,272.91,140821.56,428,271.4,116159.2
2025-08,Asia,Product A,Direct,1995,418.34,834588.3,1892,414.5,784234
2025-08,Asia,Product A,Online,1868,409.03,764068.04,1654,413.63,684144.02
2025-08,Asia,Product A,Partner,1444,404.18,583635.92,1325,399.69,529589.25
2025-08,Asia,Product B,Direct,1236,941.95,1164250.2,1082,930.23,1006508.86
2025-08,Asia,Product B,Online,1106,1006.17,1112824.02,986,974.53,960886.58
2025-08,Asia,Product B,Partner,816,939.63,766738.08,789,930.3,734006.7
2025-08,Asia,Product C,Direct,795,281.1,223474.5,751,273.59,205466.09
2025-08,Asia,Product C,Online,711,275.08,195581.88,644,273.85,176359.4
2025-08,Asia,Product C,Partner,549,280.14,153796.86,514,280.52,144187.28
2025-09,North America,Product A,Direct,2630,389.35,1023990.5,2232,384.1,857311.2
2025-09,North America,Product A,Online,2446,406.62,994592.52,1949,411.13,801292.37
2025-09,North America,Product A,Partner,1812,399.13,723223.56,1621,397.95,645076.95
2025-09,North America,Product B,Direct,1576,948.02,1494079.52,1534,964.81,1480018.54
2025-09,North America,Product B,Online,1438,990.63,1424525.94,1237,1003.01,1240723.37
2025-09,North America,Product B,Partner,1083,922.37,998926.71,954,908.8,866995.2
2025-09,North America,Product C,Direct,1033,281.66,290954.78,991,284.62,282058.42
2025-09,North America,Product C,Online,963,271.14,261107.82,806,275.97,222431.82
2025-09,North America,Product C,Partner,727,289.07,210153.89,630,293.01,184596.3
2025-09,Europe,Product A,Direct,1932,420.01,811459.32,1659,432.25,717102.75
2025-09,Europe,Product A,Online,1771,371.84,658528.64,1560,375.34,585530.4
2025-09,Europe,Product A,Partner,1365,424.56,579524.4,1185,400.96,475137.6
2025-09,Europe,Product B,Direct,1178,924.16,1088660.48,1072,908.27,973665.44
2025-09,Europe,Product B,Online,1022,972.36,993751.92,902,973.63,878214.26
2025-09,Europe,Product B,Partner,815,897.27,731275.05,749,921.62,690293.38
2025-09,Europe,Product C,Direct,756,279.24,211105.44,746,274.04,204433.84
2025-09,Europe,Product C,Online,718,283.5,203553,682,274.53,187229.46
2025-09,Europe,Product C,Partner,545,276.29,150578.05,452,275.17,124376.84
2025-09,Asia,Product A,Direct,2173,413.27,898035.71,2006,417.45,837404.7
2025-09,Asia,Product A,Online,1926,400.2,770785.2,1753,416.86,730755.58
2025-09,Asia,Product A,Partner,1527,403.02,615411.54,1346,410.02,551886.92
2025-09,Asia,Product B,Direct,1296,927.65,1202234.4,1166,949.61,1107245.26
2025-09,Asia,Product B,Online,1142,987.61,1127850.62,1055,983.74,1037845.7
2025-09,Asia,Product B,Partner,885,938.42,830501.7,798,896.22,715183.56
2025-09,Asia,Product C,Direct,833,276.82,230591.06,788,275.93,217432.84
2025-09,Asia,Product C,Online,764,281.31,214920.84,713,276.6,197215.8
2025-09,Asia,Product C,Partner,582,281.05,163571.1,553,276.98,153169.94
2025-10,North America,Product A,Direct,2735,387.4,1059539,2366,389.08,920563.28
2025-10,North America,Product A,Online,2524,399.79,1009069.96,2079,400.44,832514.76
2025-10,North America,Product A,Partner,1874,402.67,754603.58,1700,391.81,666077
2025-10,North America,Product B,Direct,1635,965.97,1579360.95,1540,972.27,1497295.8
2025-10,North America,Product B,Online,1506,1001.11,1507671.66,1218,1031.84,1256781.12
2025-10,North America,Product B,Partner,1171,914.97,1071429.87,1024,918,940032
2025-10,North America,Product C,Direct,1126,275.38,310077.88,1026,281.71,289034.46
2025-10,North America,Product C,Online,970,274.34,266109.8,848,279.28,236829.44
2025-10,North America,Product C,Partner,763,282.78,215761.14,667,287.83,191982.61
2025-10,Europe,Product A,Direct,2010,424.39,853023.9,1770,424.37,751134.9
2025-10,Europe,Product A,Online,1839,368.05,676843.95,1621,374.22,606610.62
2025-10,Europe,Product A,Partner,1379,418.59,577235.61,1262,407.25,513949.5
2025-10,Europe,Product B,Direct,1210,923.56,1117507.6,1102,901.31,993243.62
2025-10,Europe,Product B,Online,1059,969.05,1026223.95,946,978.95,926086.7
2025-10,Europe,Product B,Partner,816,914.35,746109.6,771,904.81,697608.51
2025-10,Europe,Product C,Direct,819,280.32,229582.08,779,281.98,219662.42
2025-10,Europe,Product C,Online,701,279.76,196111.76,686,275.01,188656.86
2025-10,Europe,Product C,Partner,546,273,149058,458,279.18,127864.44
2025-10,Asia,Product A,Direct,2212,407.17,900660.04,2146,418.73,898594.58
2025-10,Asia,Product A,Online,1997,395.56,789933.32,1782,406.92,725131.44
2025-10,Asia,Product A,Partner,1561,411.34,642101.74,1415,400.69,566976.35
2025-10,Asia,Product B,Direct,1362,948.38,1291693.56,1238,945.06,1169984.28
2025-10,Asia,Product B,Online,1189,987.25,1173840.25,1063,988.93,1051232.59
2025-10,Asia,Product B,Partner,906,939.6,851277.6,866,910.51,788501.66
2025-10,Asia,Product C,Direct,882,274.35,241976.7,818,272.91,223240.38
2025-10,Asia,Product C,Online,796,274.27,218318.92,739,273.44,202072.16
2025-10,Asia,Product C,Partner,623,281.67,175480.41,574,281.64,161661.36
2025-11,North America,Product A,Direct,3125,388.68,1214625,2736,382.04,1045261.44
2025-11,North America,Product A,Online,2921,399.15,1165917.15,2333,405.97,947128.01
2025-11,North America,Product A,Partner,2238,403.33,902652.54,1884,395.55,745216.2
2025-11,North America,Product B,Direct,1839,968.05,1780243.95,1712,962.58,1647936.96
2025-11,North America,Product B,Online,1699,1016.16,1726455.84,1444,1012.58,1462165.52
2025-11,North America,Product B,Partner,1327,944.22,1252979.94,1148,891.38,1023304.24
2025-11,North America,Product C,Direct,1264,280.49,354539.36,1190,284.1,338079
2025-11,North America,Product C,Online,1169,273.88,320165.72,945,279.94,264543.3
2025-11,North America,Product C,Partner,865,281.69,243661.85,735,286.73,210746.55
2025-11,Europe,Product A,Direct,2309,411.19,949437.71,2014,426.17,858306.38
2025-11,Europe,Product A,Online,2041,375.38,766150.58,1850,370.26,684981
2025-11,Europe,Product A,Partner,1577,409.75,646175.75,1423,413.44,588325.12
2025-11,Europe,Product B,Direct,1414,929.26,1313973.64,1216,904.08,1099361.28
2025-11,Europe,Product B,Online,1272,985.94,1254115.68,1055,943.56,995455.8
2025-11,Europe,Product B,Partner,970,913.11,885716.7,896,914.43,819329.28
2025-11,Europe,Product C,Direct,920,280.61,258161.2,859,280.38,240846.42
2025-11,Europe,Product C,Online,842,280.7,236349.4,777,267.54,207878.58
2025-11,Europe,Product C,Partner,631,271.69,171436.39,520,279.34,145256.8
2025-11,Asia,Product A,Direct,2598,419.16,1088977.68,2401,412.44,990268.44
2025-11,Asia,Product A,Online,2331,408.45,952096.95,2080,402.77,837761.6
2025-11,Asia,Product A,Partner,1799,413.75,744336.25,1631,412.57,672901.67
2025-11,Asia,Product B,Direct,1503,956.69,1437905.07,1336,957.98,1279861.28
2025-11,Asia,Product B,Online,1376,971.09,1336219.84,1235,988.9,1221291.5
2025-11,Asia,Product B,Partner,1028,928.31,954302.68,933,925.7,863678.1
2025-11,Asia,Product C,Direct,990,277.41,274635.9,937,276.6,259174.2
2025-11,Asia,Product C,Online,908,278.11,252523.88,815,274.66,223847.9
2025-11,Asia,Product C,Partner,718,285.64,205089.52,625,280.83,175518.75
2025-12,North America,Product A,Direct,3505,394.14,1381460.7,3006,387.22,1163983.32
2025-12,North America,Product A,Online,3157,397.33,1254370.81,2609,405.25,1057297.25
2025-12,North America,Product A,Partner,2439,393.75,960356.25,2186,395.15,863797.9
2025-12,North America,Product B,Direct,2112,960.54,2028660.48,1984,974.64,1933685.76
2025-12,North America,Product B,Online,1901,1022.07,1942955.07,1632,1016.53,1658976.96
2025-12,North America,Product B,Partner,1511,939.88,1420158.68,1255,902.37,1132474.35
2025-12,North America,Product C,Direct,1397,277.51,387681.47,1364,275.05,375168.2
2025-12,North America,Product C,Online,1306,270.68,353508.08,1083,284.48,308091.84
2025-12,North America,Product C,Partner,1017,283.84,288665.28,865,291.17,251862.05
2025-12,Europe,Product A,Direct,2596,422.07,1095693.72,2241,425.18,952828.38
2025-12,Europe,Product A,Online,2384,374.71,893308.64,2141,364.94,781336.54
2025-12,Europe,Product A,Partner,1854,423.49,785150.46,1628,410.69,668603.32
2025-12,Europe,Product B,Direct,1509,941.22,1420300.98,1386,904.28,1253332.08
2025-12,Europe,Product B,Online,1408,988.34,1391582.72,1241,954.87,1184993.67
2025-12,Europe,Product B,Partner,1051,909.66,956052.66,977,907.24,886373.48
2025-12,Europe,Product C,Direct,1022,279.32,285465.04,948,275.6,261268.8
2025-12,Europe,Product C,Online,913,282.05,257511.65,906,266.13,241113.78
2025-12,Europe,Product C,Partner,705,276.86,195186.3,604,275.41,166347.64
2025-12,Asia,Product A,Direct,2967,413.38,1226498.46,2681,425.3,1140229.3
2025-12,Asia,Product A,Online,2602,402.23,1046602.46,2266,402.05,911045.3
2025-12,Asia,Product A,Partner,1970,412.14,811915.8,1792,412.57,739325.44
2025-12,Asia,Product B,Direct,1730,945.87,1636355.1,1571,925.3,1453646.3
2025-12,Asia,Product B,Online,1523,990.58,1508653.34,1410,959.01,1352204.1
2025-12,Asia,Product B,Partner,1207,918.02,1108050.14,1080,914.28,987422.4
2025-12,Asia,Product C,Direct,1137,274.18,311742.66,1084,271.36,294154.24
2025-12,Asia,Product C,Online,993,279.43,277473.99,927,272.05,252190.35
2025-12,Asia,Product C,Partner,781,285.36,222866.16,713,275.48,196417.24
