month,region,product,revenue,cogs,gross_profit,gross_margin,marketing,payroll,technology,logistics,admin,opex_total,ebitda,ebitda_margin
2025-05,Europe,Product C,202287.17,118958.28,83328.89,0.4119,11839.61,8270.4,2024.1,3857.32,2092.55,28083.98,55244.91,0.2731
2025-05,Asia,Product A,735894.39,334983.15,400911.24,0.5448,45207.22,29544.46,7724.31,23142.71,7447.99,113066.69,287844.55,0.3911
2025-05,Asia,Product B,393074.4,209187.62,183886.78,0.4678,27635.19,15905.13,3832.29,8055.85,3743.67,59172.13,124714.65,0.3173
2025-05,Asia,Product C,280917.54,164866.07,116051.47,0.4131,16606.69,11321.31,2829.07,5354.64,2783.19,38894.9,77156.57,0.2747
2025-06,North America,Product A,946726.27,391450.16,555276.11,0.5865,54761.63,36384.31,9236.64,27783.92,9524.61,137691.11,417585,0.4411
2025-06,North America,Product B,522833.82,297488.46,225345.36,0.431,37215.34,21119.6,5155.86,10666.25,5113.21,79270.26,146075.1,0.2794
2025-06,North America,Product C,360836.2,221166.97,139669.23,0.3871,21769.49,14657.66,3698.03,7281.36,3528.07,50934.61,88734.62,0.2459
2025-06,Europe,Product A,554200.54,233689.97,320510.57,0.5783,31932.78,21818.61,5509.49,17088.83,5621.87,81971.58,238538.99,0.4304
2025-06,Europe,Product B,310609.17,168246.51,142362.66,0.4583,22161.42,12332.79,3060.8,6355.42,3113.29,47023.72,95338.94,0.3069
2025-06,Europe,Product C,208448.05,125291.44,83156.61,0.3989,12223.38,8590.38,2180.48,4292.13,2163.89,29450.26,53706.35,0.2576
2025-06,Asia,Product A,691640.39,303916.58,387723.81,0.5606,41566.61,28212.36,6576.46,20619.34,6606.87,103581.64,284142.17,0.4108
2025-06,Asia,Product B,402683.13,217087.15,185595.98,0.4609,27868.06,16870.58,4095.54,8138.38,3873.27,60845.83,124750.15,0.3098
2025-06,Asia,Product C,269489.16,160155.65,109333.51,0.4057,16862.83,10396.75,2601.52,5560.34,2820.94,38242.38,71091.13,0.2638
2025-07,North America,Product A,943507.15,392445.55,551061.6,0.5841,55047.3,38818.77,9783.64,29362.84,9772.36,142784.91,408276.69,0.4327
2025-07,North America,Product B,484219.72,269801.34,214418.38,0.4428,35354.55,19604.49,4879.04,10062.84,4969.03,74869.95,139548.43,0.2882
2025-07,North America,Product C,343629.51,201615.69,142013.82,0.4133,21202.25,13385.29,3436.18,6938.31,3347.17,48309.2,93704.62,0.2727
2025-07,Europe,Product A,539770.07,232739.99,307030.08,0.5688,31216.79,22224.63,5497.64,15750.71,5252.14,79941.91,227088.17,0.4207
2025-07,Europe,Product B,272374.35,153240.75,119133.6,0.4374,19981.92,10785.57,2705.74,5242.37,2616.23,41331.83,77801.77,0.2856
2025-07,Europe,Product C,205158.72,118067.17,87091.55,0.4245,12246.24,8282.42,2023.79,4193.66,2009.66,28755.77,58335.78,0.2843
2025-07,Asia,Product A,679679.02,311319.2,368359.82,0.542,41853.84,25963.26,7043.5,19745.78,6665.76,101272.14,267087.68,0.393
2025-07,Asia,Product B,365516.64,207192.69,158323.95,0.4332,26365.33,14565.75,3490.47,7518.22,3632.05,55571.82,102752.13,0.2811
2025-07,Asia,Product C,276599.69,155574.57,121025.12,0.4375,16916.82,10612.01,2831.22,5408.66,2699.3,38468.01,82557.11,0.2985
2025-08,North America,Product A,928537.46,413032.75,515504.71,0.5552,53266.39,38334.38,8988.06,27127.36,9505.47,137221.66,378283.05,0.4074
2025-08,North America,Product B,476647.6,260028.68,216618.92,0.4545,34972.18,19560.81,4739.16,9546.19,4869.07,73687.41,142931.51,0.2999
2025-08,North America,Product C,308685.92,174010.69,134675.23,0.4363,18539.08,12546.33,3239.19,6009.78,3051.1,43385.48,91289.75,0.2957
2025-08,Europe,Product A,580391.13,254911.91,325479.22,0.5608,34027.38,24211.66,6065.37,17694.33,5889.8,87888.54,237590.68,0.4094
2025-08,Europe,Product B,300428.96,163382.16,137046.8,0.4562,20412.77,12339.88,3018.84,5762.16,2877.37,44411.02,92635.78,0.3083
2025-08,Europe,Product C,195878.08,119929.03,75949.05,0.3877,11922.05,8046.58,1949.05,4018.4,1885.73,27821.81,48127.24,0.2457
2025-08,Asia,Product A,652217.22,279694.25,372522.97,0.5712,39177.82,25495.41,6339.62,18667.09,6220,95899.94,276623.03,0.4241
2025-08,Asia,Product B,377410.33,205391.71,172018.62,0.4558,26344.07,15009.71,3898.68,7466.97,3790.72,56510.15,115508.47,0.3061
2025-08,Asia,Product C,268145.98,154358.89,113787.09,0.4243,16246.14,10359.36,2686.52,5204.47,2674.56,37171.05,76616.04,0.2857
2025-09,North America,Product A,920849.24,423276.51,497572.73,0.5403,54782.68,37837.24,9664.52,27796.47,9507.86,139588.77,357983.96,0.3888
2025-09,North America,Product B,521127.84,284354.97,236772.87,0.4543,37916.25,21026,5067.84,10471.16,5110.99,79592.24,157180.63,0.3016
2025-09,North America,Product C,370353.96,215041.13,155312.83,0.4194,21389.05,15120.77,3813.59,7770.03,3724.29,51817.73,103495.1,0.2794
2025-09,Europe,Product A,607386.24,254353.82,353032.42,0.5812,37571.76,24057.91,5987.99,18927.68,6285.86,92831.2,260201.22,0.4284
2025-09,Europe,Product B,310123.57,168004.44,142119.13,0.4583,21950,11976.07,2992.58,5923.5,3175.35,46017.5,96101.63,0.3099
2025-09,Europe,Product C,196290.29,119336.5,76953.79,0.392,11750.95,7966.81,2003.72,3776.86,1874.34,27372.68,49581.11,0.2526
2025-09,Asia,Product A,745009.66,332615.2,412394.46,0.5535,46291.43,29307.12,7363.11,23452.38,7290.17,113704.21,298690.25,0.4009
2025-09,Asia,Product B,407949.07,219679.6,188269.47,0.4615,29774.15,15993.11,4005.42,7985.44,4232.38,61990.5,126278.97,0.3095
2025-09,Asia,Product C,285407.06,164916.88,120490.18,0.4222,17396.05,11268.64,2731.09,5447.88,2962.58,39806.24,80683.94,0.2827
2025-10,North America,Product A,980710.91,424491.81,556219.1,0.5672,61218.64,38809.85,10159.66,28332.19,9729.93,148250.27,407968.83,0.416
2025-10,North America,Product B,551223.19,296349.24,254873.95,0.4624,40125.03,21609.18,5785.76,10846.68,5566.55,83933.2,170940.75,0.3101
2025-10,North America,Product C,336664.82,189859.33,146805.49,0.4361,20798.01,12966.09,3496.57,6884.09,3416.02,47560.78,99244.71,0.2948
2025-10,Europe,Product A,601875.34,254068.39,347806.95,0.5779,34504.47,23664.45,6186.13,17934.53,5818.98,88108.56,259698.39,0.4315
2025-10,Europe,Product B,291831.94,161180.78,130651.16,0.4477,20572.12,11488.64,2790.48,6050.66,2791.71,43693.61,86957.55,0.298
2025-10,Europe,Product C,224472.25,135346.11,89126.14,0.397,13988.52,9225.53,2188.92,4521.91,2161.2,32086.08,57040.06,0.2541
2025-10,Asia,Product A,764962.53,337872.82,427089.71,0.5583,46760.2,30473.96,7420.42,23205.22,7714.36,115574.16,311515.55,0.4072
2025-10,Asia,Product B,425246.51,241016.85,184229.66,0.4332,29208.54,16305.46,4243.98,8810.12,4414.91,62983.01,121246.65,0.2851
2025-10,Asia,Product C,286432.23,170692.06,115740.17,0.4041,16903.7,11772.84,2953.02,5888,2935.94,40453.5,75286.67,0.2628
2025-11,North America,Product A,997419.98,431531.32,565888.66,0.5674,61034.11,39409.38,9824.88,28961.39,10332.01,149561.77,416326.89,0.4174
2025-11,North America,Product B,575780.96,313069.96,262711,0.4563,39900.69,22684.89,5786.86,12046.39,5679.62,86098.45,176612.55,0.3067
2025-11,North America,Product C,372701.34,215297.86,157403.48,0.4223,22641.39,14749.21,3727.42,7189.51,3624.03,51931.56,105471.92,0.283
2025-11,Europe,Product A,647789.76,297808.59,349981.17,0.5403,37568.92,26401.83,6730.9,19649.22,6416.87,96767.74,253213.43,0.3909
2025-11,Europe,Product B,328795.68,179549.3,149246.38,0.4539,23593.95,13202.56,3203.06,6630.38,3423.7,50053.65,99192.73,0.3017
2025-11,Europe,Product C,204454.08,122411.81,82042.27,0.4013,11792.54,8364.72,1968.24,4168.19,2130.94,28424.63,53617.64,0.2622
2025-11,Asia,Product A,763920.58,345547.89,418372.69,0.5477,44624.08,31804.3,7430.65,22068.85,7810.75,113738.63,304634.06,0.3988
2025-11,Asia,Product B,417677.27,228903.64,188773.63,0.452,28203.04,17492.28,4021.25,8211.88,4277.26,62205.71,126567.92,0.303
2025-11,Asia,Product C,310957.57,192723.26,118234.31,0.3802,18317.18,12898.29,3125.05,6290.64,3230.26,43861.42,74372.89,0.2392
2025-12,North America,Product A,1177685.39,507503.76,670181.63,0.5691,70951.25,45270.13,11719.67,34468.36,12173.33,174582.74,495598.89,0.4208
2025-12,North America,Product B,586067.23,328879.66,257187.57,0.4388,42031.59,22489.59,5944.31,12115.27,5850.01,88430.77,168756.8,0.2879
2025-12,North America,Product C,420706.89,247117.41,173589.48,0.4126,25314.98,16904.95,4092.14,8771.23,4347.28,59430.58,114158.9,0.2714
2025-12,Europe,Product A,672466.86,304835.77,367631.09,0.5467,41373.66,27538.18,6725.79,20153.89,6632.25,102423.77,265207.32,0.3944
2025-12,Europe,Product B,364913.5,197255.94,167657.56,0.4594,24697.68,15312.77,3523.53,7126.89,3693.01,54353.88,113303.68,0.3105
2025-12,Europe,Product C,238944.06,141477.68,97466.38,0.4079,14827.24,9195.3,2349.72,4610.72,2379.48,33362.46,64103.92,0.2683
2025-12,Asia,Product A,866201.58,376862.03,489339.55,0.5649,53208.76,34607.4,8686.16,25853.51,8569.15,130924.98,358414.57,0.4138
2025-12,Asia,Product B,470187.53,255528.96,214658.57,0.4565,33679.88,18704.38,4627.9,9493.74,4665.82,71171.72,143486.85,0.3052
2025-12,Asia,Product C,335909.08,206754.98,129154.1,0.3845,20415.37,13476.75,3200.94,6496.55,3438.62,47028.23,82125.87,0.2445
